Blog	four	second	here	music	until	example	want	feature	how	series	re	millions	wasn	service	needed	project	person	came	saying	best	asked	much	life	worked	things	had	easy	possible	right	old	people	continue	support	week	inside	time	team	along	love	working	anything	following	such	data	so	years	didn	internet	million	wrong	open	city	future	say	note	take	going	where	many	wants	photos	being	around	world	power	image	her	am	tv	th	large	small	past	hours	experience	pick	via	company	learn	its	always	found	really	major	number	also	play	plan	sometimes	set	see	available	last	let	community	recent	using	couple	d	into	link	line	up	us	ago	having	results	try	video	great	makes	tools	next	process	high	move	doing	could	start	system	face	fact	should	hope	means	stuff	email	co	ve	site	off	less	web	day	five	become	does	worth	announced	told	thursday	word	work	provide	earlier	then	them	they	network	created	another	do	away	com	information	launched	photo	night	post	months	way	was	true	update	together	global	change	live	car	december	write	product	still	half	now	year	happen	space	looking	shows	care	than	online	america	only	between	comes	these	media	thinking	real	read	early	amp	business	your	aren	low	lot	trying	building	since	month	very	family	put	taken	tried	help	soon	actually	event	reason	ask	american	clear	latest	pretty	during	x	close	won	probably	both	else	look	while	ready	used	user	game	popular	some	run	step	within	doesn	e	go	facebook	click	products	started	links	including	him	special	times	need	able	based	course	she	key	problem	party	well	page	twitter	home	he	stories	piece	friends	companies	across	likely	even	new	ever	never	campaign	call	tell	give	amazing	president	third	before	better	weeks	went	side	content	isn	features	matter	seen	don	m	stop	bad	said	against	three	website	if	make	left	just	yet	save	deal	down	drive	daily	finally	did	making	may	man	maybe	talk	nbsp	group	interesting	morning	after	thing	think	first	fast	little	anyone	were	especially	show	get	enough	reading	according	mark	those	pay	running	money	either	videos	again	important	u	starting	public	search	two	share	needs	different	coming	through	same	someone	everyone	house	hard	idea	members	done	least	part	believe	most	find	please	mean	point	simple	create	understand	itself	big	bit	google	often	back	single	giving	access	others	themselves	ll	instead	text	taking	value	almost	thought	add	like	happens	under	every	changed	changes	would	phone	must	me	my	keep	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	report	full	news	been	quickly	n	several	social	election	everything	head	donald	check	no	when	longer	focus	cool	level	says	goes	water	today	trump	name	place	given	white	any	ideas	sure	later	hear	state	ways	come	case	myself	good	without	seems	blog	or	there	far	list	design	what	version	known	short	might	expect	feel	story	store	kind	nothing	his	wrote	art	recently	c	questions	question	long	called	users	once	include	app	use	few	something	looks	choose	related	our	out	their	remember	which	who	why	view	job	will	gets	whole	other	know	press	because	getting	own	made	whether	book
Steve Pavlina	0	0	0	0	1	0	1	0	1	0	5	0	0	0	0	0	0	0	0	2	1	3	2	0	0	4	0	0	0	0	24	0	0	4	0	4	0	0	1	0	0	0	2	0	8	2	1	0	0	0	4	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	1	0	1	0	0	6	3	9	0	0	0	0	0	0	0	4	0	1	1	0	0	2	0	0	0	0	1	0	0	0	1	2	1	0	1	1	1	3	1	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	6	0	0	2	0	48	1	0	0	0	0	0	3	0	1	0	0	2	0	1	0	0	1	1	1	0	0	0	0	0	20	0	0	16	0	0	2	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	1	3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	2	0	1	0	1	1	0	2	1	2	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	1	2	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	3	0	0	2	22	0	1	0	2	4	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	3	0	0	4	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	1	0	3	0	0	1	0	0	0	0	0	6	7	0	2	0	0	0	1	6	0	36	2	0	0	0	1	0	0	1	0	4	1	0	1	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	5	4	3	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	7	3	0	1	4	0	2	0	1	0	0	2	2	0	0	3	0	0	2	1	0
mezzoblue	0	0	1	0	0	0	0	0	2	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	3	1	0	0	0	0	0	1	1	1	0	0	1	2	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	5	2	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	3	2	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eschaton	0	0	0	0	0	0	2	0	1	0	7	0	2	2	1	0	0	0	1	3	0	5	4	1	3	4	1	2	11	0	21	0	1	2	0	7	0	0	0	1	0	0	0	0	15	4	7	0	0	1	0	0	2	3	0	1	5	1	2	0	0	4	2	3	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	0	6	0	4	1	0	1	0	0	0	0	4	0	0	0	0	0	2	2	2	4	0	0	8	2	1	1	0	0	0	3	1	0	1	0	1	1	1	5	3	1	0	1	1	0	4	0	0	0	4	0	1	0	0	2	0	0	2	0	0	1	0	0	2	0	0	6	5	19	0	0	2	8	4	0	0	0	1	3	2	0	1	12	2	0	0	0	1	0	1	0	0	0	0	0	3	1	2	0	1	0	4	5	0	4	4	0	1	0	5	1	1	0	0	0	1	9	5	0	3	2	0	0	1	2	1	1	0	0	2	0	4	0	1	0	0	1	0	1	2	0	3	4	6	0	0	0	0	0	2	0	2	3	11	3	0	0	3	0	4	0	0	0	0	0	0	2	0	1	3	0	0	4	3	1	1	3	1	0	1	0	9	1	0	0	0	0	0	7	0	2	1	9	0	1	0	0	6	0	1	3	0	1	0	0	12	0	0	2	10	3	1	0	4	3	0	0	11	4	3	12	0	1	1	0	0	0	0	2	1	0	1	4	1	0	0	0	2	3	5	6	0	0	4	0	10	1	0	8	2	0	0	0	5	1	0	4	1	0	1	1	0	1	0	0	2	0	0	3	0	1	1	0	0	1	7	0	2	0	4	2	0	4	0	0	2	3	0	0	0	0	1	3	0	3	1	3	0	2	0	0	1	1	0	0	0	2	2	1	7	0	0	1	0	0	13	0	2	2	3	1	0	3	0	0	1	0	0	3	2	0	7	2	2	0	0	1	1	0	1	0	0	1	3	1	0	2	0	4	7	0	0	0	0	0	0	0	3	6	0	1	1	1	3	0	3	1	1	1	0	2	0	0	7	1	1	1	21	6	0	0	0	8	0	1	0	2	1	0	0	0	0	1	4	0	0	0	0	0	2	0	0	0	2	0	0	3	3	3	0	0	0	3	4	13	1	2	13	0	2	3	2	1	0	2	5	2	8	1	2	2	0	0
ShoeMoney	0	1	14	0	3	0	5	0	11	0	1	0	0	2	0	0	2	1	1	3	0	3	5	2	2	8	1	0	0	2	8	0	0	3	0	5	1	0	1	1	0	0	3	0	11	8	0	7	1	1	0	0	0	1	0	3	1	0	0	2	0	3	1	2	0	0	0	3	4	2	0	0	2	0	3	1	0	3	2	2	0	2	8	0	0	2	2	0	0	1	5	0	7	1	0	0	1	1	0	2	1	0	3	14	2	2	0	0	1	1	0	0	2	0	0	0	4	3	2	1	0	0	2	0	1	1	2	2	2	2	3	0	0	2	0	1	0	0	0	1	0	0	6	0	0	6	1	7	0	0	2	4	1	3	0	2	0	0	3	2	0	19	0	0	2	0	0	12	0	0	0	8	1	2	7	2	2	4	0	0	0	2	7	0	2	2	1	1	4	1	0	1	0	0	6	17	0	0	6	1	0	3	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	5	0	2	0	1	0	5	0	2	0	0	0	3	6	0	1	9	0	0	5	3	0	5	1	2	3	1	1	0	0	4	0	0	0	12	0	0	5	1	1	0	3	4	1	3	1	0	2	2	2	0	0	6	0	0	0	0	0	0	0	1	0	2	1	1	0	3	1	0	0	7	11	0	4	0	0	1	0	0	0	0	4	3	0	0	3	2	0	0	0	0	4	1	1	8	2	0	0	6	0	22	5	0	0	0	1	2	0	4	6	0	1	1	1	0	0	0	2	1	0	0	2	2	4	1	1	4	0	1	0	0	1	1	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	1	1	3	1	10	0	0	0	0	0	1	1	3	7	18	1	0	6	0	1	8	1	2	1	1	3	0	1	0	0	0	0	0	10	2	0	3	0	0	1	0	0	0	3	6	0	2	0	0	0	0	2	5	0	0	0	0	0	2	0	1	0	0	1	1	6	0	1	4	0	0	3	7	8	2	1	0	10	0	1	0	1	1	0	0	0	1	0	4	0	0	1	2	0	0	3	1	0	3	0	0	0	7	6	0	1	0	5	3	5	0	4	8	2	0	1	3	0	0	4	3	0	3	3	4	3	1	0
Slashdot	1	2	1	0	1	0	0	0	3	1	0	3	0	3	1	0	4	1	1	1	1	1	1	3	2	7	0	2	0	1	6	1	2	0	1	7	4	0	0	3	0	0	2	11	3	4	1	0	0	0	1	0	4	2	0	2	2	3	1	2	0	2	2	5	1	0	0	0	0	0	2	2	1	0	0	0	1	11	0	15	0	6	0	3	3	11	1	3	0	1	2	0	2	0	4	0	3	0	0	4	1	0	4	4	0	0	1	1	1	0	0	0	4	2	2	2	0	5	0	2	0	0	1	2	1	1	0	3	1	1	2	2	0	2	2	2	1	1	3	4	3	0	1	5	1	1	3	8	6	1	1	9	0	0	4	0	1	0	1	2	1	16	0	11	0	3	1	2	1	1	0	2	3	2	3	11	1	2	0	0	0	8	2	1	2	1	1	1	4	0	2	16	3	0	7	0	0	0	0	1	1	2	2	5	1	3	0	1	2	0	0	0	0	0	0	0	2	1	2	0	0	0	1	0	0	0	1	2	6	0	0	0	2	1	4	0	3	0	1	5	0	3	3	0	4	1	0	2	0	3	3	0	0	0	0	0	1	0	0	0	12	0	0	0	1	0	1	5	18	2	1	0	0	2	1	0	1	0	1	0	1	0	0	3	0	2	1	1	0	3	2	1	20	1	2	0	2	2	1	1	0	0	0	4	0	1	0	0	0	5	6	0	0	0	2	0	1	4	0	1	6	0	0	0	13	1	0	3	2	1	12	0	3	2	2	2	1	2	0	0	3	0	1	1	10	0	0	0	0	2	1	0	0	1	0	1	2	1	4	3	2	4	1	0	0	1	1	0	1	0	0	0	6	0	4	2	0	0	0	0	1	1	0	1	2	0	2	0	1	0	1	2	2	2	10	3	0	0	2	0	0	14	0	2	0	0	1	0	2	1	0	3	5	0	11	0	4	6	0	0	2	1	0	0	3	1	0	4	5	0	0	0	2	4	0	0	3	2	0	3	1	0	6	0	0	0	0	3	2	1	0	0	1	2	0	1	6	7	1	0	0	9	3	2	1	1	0	0	15	1	0	0	4	4	0	2	0	0	0	1	3	3	1	0	9	7	0	2	0	0	0	1	5	3	0	9	3	0	0	2	12	0	0	7	0	2	3	3	0	3	1	0
Matt Cutts: Gadgets, Google, and SEO	0	0	1	0	0	2	0	0	0	0	3	0	0	2	0	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	3	0	1	0	0	1	1	0	0	1	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	1	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	4	0	1	0	3	3	0	0	0	0	1	0	0	0	1	0	1	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0	1	0	1	0	3	3	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	2	0	0	5	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	2	1	3	0	0	0	0	3	1	0	2	1	0	0	0	2	0	0	1	0	1	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	0	1	0	0	1	6	1	1	2	0	1	0	0	1	2	0	0	1	1	0	1	1	2	1	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gothamist	2	1	5	0	0	1	0	0	3	3	1	0	0	2	0	1	0	0	0	4	0	0	6	1	2	3	0	0	1	9	1	0	2	2	3	2	0	1	2	2	0	3	2	0	2	3	1	3	1	1	1	7	0	2	2	0	1	1	2	0	3	1	1	1	0	0	5	0	0	4	0	1	1	0	0	0	0	2	0	2	1	4	2	1	0	5	1	0	2	0	2	0	5	1	0	0	0	0	0	3	0	0	10	6	1	3	0	0	5	4	0	0	3	0	3	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	6	0	1	3	2	1	0	1	1	1	1	0	2	0	0	0	2	5	0	1	2	3	0	0	1	0	0	2	2	1	0	16	0	0	0	0	0	0	0	1	0	0	2	1	7	14	0	0	0	1	0	1	0	0	3	1	0	1	1	1	1	0	2	0	0	10	0	0	0	1	2	1	2	0	2	1	1	0	1	2	0	3	0	0	1	0	1	0	1	2	3	1	0	2	1	1	2	0	0	0	0	1	5	0	0	1	0	0	0	5	0	0	0	3	1	0	0	1	2	1	0	0	2	0	0	5	2	0	3	4	6	3	0	0	0	1	1	4	14	1	1	2	0	0	1	0	0	0	1	0	2	2	0	0	1	0	2	0	3	2	1	1	1	0	6	2	3	1	1	2	0	1	2	2	0	1	1	1	2	3	6	0	0	23	1	0	2	10	0	2	1	0	1	0	2	0	1	6	1	0	3	1	1	3	1	0	0	0	1	0	3	0	6	3	3	0	0	2	1	2	0	1	0	2	2	0	0	0	0	2	1	5	2	0	0	0	0	0	0	0	1	2	0	0	6	0	0	3	0	2	0	0	1	1	0	1	0	0	7	0	2	1	0	0	6	3	0	0	0	2	2	6	0	0	3	1	0	1	0	4	0	3	2	1	1	1	1	9	1	1	1	1	0	0	1	5	3	0	7	0	0	0	0	1	0	0	4	13	1	0	0	1	1	0	2	0	0	4	0	1	2	0	2	2	0	0	6	4	0	3	0	1	0	2	0	1	0	0	0	1	0	0	6	0	1	4	0	0	0	3	3	0	1	0	0	0	1	0	0	0	0	2	10	3	1	1	7	1	0	0	7	1	0	1	0	0	4	0	2	2	0	0
BuzzMachine	0	0	5	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	3	0	0	0	0	1	2	2	0	0	1	0	1	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	4	0	0	2	3	0	0	0	0	1	0	1	0	0	5	0	0	0	0	5	0	0	0	1	0	2	0	2	1	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	2	0	1	0	0	0	1	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	1	1	0	0	0	0	0	3	1	1	0	1	1	1	0	5	0	1	2	0	0	0	0	3	0	1	2	2	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	1	2	2	0	5	3	0	0	0	0	1	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	4	0	1	0	0	0	0	2	1	0	0	0	0	0	2	0	0	1	2	0	2	0	3	1	0	0	0	2	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	2	0	3	0	0	0	0	0	2	0	0	1	0	0	1	0	1	5	9	0	0	2	0	0	1	0	1	1	1	0	1	1	0	1	0	0	6	3	0	0	0	1	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	9	0	0	0	2	0	0	1	0	0	1	3	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0
Techdirt.	3	3	11	0	9	1	8	2	30	2	22	2	4	15	1	3	9	1	2	5	5	21	1	1	4	32	0	4	10	0	15	4	18	10	3	22	3	5	8	9	6	4	11	17	37	11	6	26	5	6	10	2	2	4	4	5	13	16	20	2	1	25	9	11	13	1	7	2	1	2	4	2	3	4	0	0	9	19	0	63	1	11	10	1	7	38	3	3	2	4	13	6	9	3	9	2	10	0	10	29	0	1	22	36	3	5	2	6	3	6	5	3	6	6	4	6	8	27	4	12	2	11	22	2	7	3	27	1	12	11	6	6	9	5	0	9	17	4	3	8	0	2	8	6	2	13	21	53	3	4	10	24	2	1	25	2	0	0	4	2	18	86	3	2	1	2	6	2	9	0	1	1	11	3	17	14	3	1	3	2	1	31	5	3	44	18	1	31	29	0	6	2	3	0	8	17	6	2	0	8	4	11	6	14	1	6	4	4	8	3	16	1	9	2	3	7	3	3	5	1	2	2	6	10	3	5	23	0	19	4	12	3	24	2	0	5	6	2	10	23	0	6	0	2	12	20	3	6	10	2	9	10	5	3	6	4	17	6	5	2	59	3	3	3	10	2	8	32	35	7	8	5	3	4	6	1	20	2	10	6	0	2	4	11	13	1	3	3	7	2	9	3	15	13	11	8	45	16	4	34	9	1	4	12	0	2	3	17	5	19	1	2	1	3	2	4	0	20	10	7	34	2	11	6	36	5	5	15	7	1	8	6	29	3	1	7	7	2	16	8	11	1	58	21	10	0	1	5	3	6	19	3	0	6	2	11	4	4	8	10	9	22	8	2	1	10	5	5	2	6	2	4	5	7	10	10	11	10	5	2	7	7	0	1	3	1	3	1	28	2	18	10	5	6	36	12	1	4	2	4	9	18	2	6	1	12	6	5	12	3	8	2	8	0	9	3	5	39	2	4	4	15	0	6	1	1	0	41	26	2	5	0	5	11	5	0	8	20	12	7	6	1	32	2	6	5	2	13	3	7	15	0	7	13	18	3	66	36	5	6	1	35	2	5	3	17	4	0	29	3	9	14	60	6	0	3	0	8	1	12	5	11	7	2	0	46	14	13	2	1	2	40	33	38	1	46	35	9	2	0	38	3	1	30	9	1	29	0	16	18	14	2
PerezHilton	0	0	1	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	1	2	1	0	0	1	1	0	3	1	3	0	0	0	0	0	0	1	3	0	0	2	0	0	2	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	2	2	0	1	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	1	3	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	2	0	0	2	6	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	4	0	0	2	0	0	3	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	1	0	2	0	0	1	1	2	2	2	3	3	0	0	1	1	1	1	0	1	0	0	1	0	1	2	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	1	5	3	2	1	1	0	0	0	0	0	2	1	0	1	0	1	0	0	0
Joho the Blog	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	4	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	3	2	0	0	2	0	4	0	0	0	0	5	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	4	0	0	0	10	0	3	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	4	0	0	0	1	4	0	3	1	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	1	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	3	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	3	0	0	0	1	0	1	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	10	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	7	0	0	1	1	0	2	4	0	0	0	2
ongoing by Tim Bray	0	0	2	0	0	0	2	0	7	0	11	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	0	0	0	2	0	0	0	2	0	1	0	1	0	0	0	0	1	0	6	1	0	0	0	4	1	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	2	0	2	1	0	0	0	0	2	0	1	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	6	0	0	2	0	5	0	0	0	2	0	0	0	0	2	0	0	0	0	5	0	0	0	1	1	6	0	0	0	0	0	2	1	9	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	4	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	2	0	0	1	0	1	4	0	0	0	0	0	3	0	0	0	0	0	0	1	3	0	1	0	0	1	0	5	1	0	0	0	0	0	3	0	0	1	0	0	1	1	0	0	0	0	0	1	2	3	0	0	0	0	0	1	2	3	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	3	0	0	2	0	0	0	5	1	0	1	0	0	0	0	0	2	0	4	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	10	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	3	1	0	2	0	0	0	0	1	0	0	1	0	0	3	0	2	0	0	2	0	0	1	0	1	1	1	0	8	2	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	4	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
